Row  Colunm  Power
7  6  4.60855456834
48  6  3.10227609608
65  6  9.46739121672
70  6  3.47068201357
91  6  3.03236293006
92  6  2.96440719443
1  18  5.58533536641
2  18  13.3282795505
26  18  4.58613402149
34  18  2.92565562801
38  18  7.64266435386
47  18  5.18877457073
48  18  4.01543918925
59  18  2.79707785646
64  18  4.58951515211
100  18  4.16970476057
114  18  2.92880431948
122  18  2.87178379936
2  25  8.70817306388
50  25  5.36245981382
101  25  3.83895274277
108  25  2.76473588106
20  29  5.42094837995
28  29  3.239401439
70  29  5.0
71  29  5.0
72  29  5.0
73  29  5.0
74  29  5.0
75  29  5.0
76  29  5.0
77  29  5.0
78  29  5.0
79  29  5.0
80  29  5.0
81  29  5.0
82  29  5.0
83  29  5.0
84  29  5.0
85  29  5.0
86  29  5.0
87  29  5.0
88  29  5.0
89  29  5.0
90  29  5.0
91  29  5.0
92  29  5.0
93  29  5.0
94  29  5.0
95  29  5.0
96  29  5.0
97  29  5.0
98  29  5.0
99  29  5.0
102  29  2.81752673277
6  86  4.05011619918
53  86  5.43736851667
60  86  10.3082360514
61  86  4.05505828497
68  86  4.56129891032
74  86  3.55258059044
87  86  3.11105527831
120  86  4.56156970222
1  102  3.27807882867
8  102  3.35758266262
35  102  2.94175928957
48  102  4.84929067036
64  102  4.04001366279
75  102  2.75166667751
107  102  11.7130280616
121  102  3.43204827987
1  102  3.27807882867
8  102  3.35758266262
35  102  2.94175928957
48  102  4.84929067036
64  102  4.04001366279
75  102  2.75166667751
107  102  11.7130280616
121  102  3.43204827987
1  102  3.27807882867
8  102  3.35758266262
35  102  2.94175928957
48  102  4.84929067036
64  102  4.04001366279
75  102  2.75166667751
107  102  11.7130280616
121  102  3.43204827987
1  102  3.27807882867
8  102  3.35758266262
35  102  2.94175928957
48  102  4.84929067036
64  102  4.04001366279
75  102  2.75166667751
107  102  11.7130280616
121  102  3.43204827987
1  102  3.27807882867
8  102  3.35758266262
35  102  2.94175928957
48  102  4.84929067036
64  102  4.04001366279
75  102  2.75166667751
107  102  11.7130280616
121  102  3.43204827987
1  102  3.27807882867
8  102  3.35758266262
35  102  2.94175928957
48  102  4.84929067036
64  102  4.04001366279
75  102  2.75166667751
107  102  11.7130280616
121  102  3.43204827987
1  102  3.27807882867
8  102  3.35758266262
35  102  2.94175928957
48  102  4.84929067036
64  102  4.04001366279
75  102  2.75166667751
107  102  11.7130280616
121  102  3.43204827987
1  102  3.27807882867
8  102  3.35758266262
35  102  2.94175928957
48  102  4.84929067036
64  102  4.04001366279
75  102  2.75166667751
107  102  11.7130280616
121  102  3.43204827987
1  102  3.27807882867
8  102  3.35758266262
35  102  2.94175928957
48  102  4.84929067036
64  102  4.04001366279
75  102  2.75166667751
107  102  11.7130280616
121  102  3.43204827987
1  102  3.27807882867
8  102  3.35758266262
35  102  2.94175928957
48  102  4.84929067036
64  102  4.04001366279
75  102  2.75166667751
107  102  11.7130280616
121  102  3.43204827987
1  102  3.27807882867
8  102  3.35758266262
35  102  2.94175928957
48  102  4.84929067036
64  102  4.04001366279
75  102  2.75166667751
107  102  11.7130280616
121  102  3.43204827987
